Name,Abbrev,Category
African Union,AU,AU organ
African Union Commission,AUC,AU organ
Pan-African Parliament,PAP,AU organ
African Continental Free Trade Area,AfCFTA,AU trade body
UN Economic Commission for Africa,UNECA,UN body
African Union Development Agency-NEPAD,AUDA-NEPAD,AU development agency
Africa Centres for Disease Control and Prevention,AfricaCDC,AU specialised agency
East African Community,EAC,REC
Intergovernmental Authority on Development,IGAD,REC
Common Market for Eastern and Southern Africa,COMESA,REC
Southern African Development Community,SADC,REC
Economic Community of West African States,ECOWAS,REC
Economic Community of Central African States,ECCAS,REC
Community of Sahel-Saharan States,CEN-SAD,REC
Arab Maghreb Union,UMA,REC
West African Economic and Monetary Union,WAEMU,Monetary union
Economic and Monetary Community of Central Africa,CEMAC,Monetary union
Association of African Central Banks,AACB,Central-bank body
African Development Bank,AfDB,Development finance
African Export-Import Bank,Afreximbank,Development finance
Pan-African Payment and Settlement System,PAPSS,DPI/payments initiative
AfricaNenda Foundation,AfricaNenda,DPI/payments initiative
Smart Africa Alliance,Smart Africa,Digital initiative
Smart Africa Trust Alliance,SATA,Digital initiative
Network of African Data Protection Authorities,NADPA-RAPDP,Data-protection network
African Telecommunications Union,ATU,Telecom/ICT body
West Africa Telecommunications Regulators Assembly,WATRA,Telecom regulator association
East African Communications Organisation,EACO,Telecom regulator association
Communications Regulators Association of Southern Africa,CRASA,Telecom regulator association
Assembly of Telecommunications Regulators of Central Africa,ARTAC,Telecom regulator association
African Organisation for Standardisation,ARSO,Standards body
African Network Information Centre,AFRINIC,Internet body
African Internet Governance Forum,African IGF,Internet governance forum
