instrument,source_value,review,note
Bond,Bond,,
Buyer's Credit,Buyer's credit,,
Buyer's Credit,Export finance,ADDED,export finance to a buyer is the same instrument; split it out only if the register grows enough to need it.
Commercial Loan,Commercial loan,,
Commercial Loan,"Commercial loan (LIBOR + 3%, 3-year grace, 15-year maturity)",,
Commercial Loan,Debt,,
Commercial Loan,Development Policy Loan (DPF),,
Commercial Loan,"IBRD loan — not concessional *(corrected from the source's ""Concessional loan""; World Bank portal records the commitment as IBRD)*",,
Commercial Loan,Loan,,
Commercial Loan,Loan (EIB financial contract FI 91989),,
Commercial Loan,Loan (IATI finance-type 411),,
Commercial Loan,"Loan (private debt), within a restructuring and expansion package",,
Commercial Loan,Loan (sovereign),,
Commercial Loan,Program-for-Results (PforR),RULED,"PAD3541: an IBRD operation for Seychelles, a non-IDA borrower. Ruled 2026-08-20."
Commercial Loan,Senior development-linked loan,,
Commercial Loan,Senior loan (A/B loan + local-currency facility),,
Commercial Loan,Standard loan (IATI finance-type 421),RULED,"BOAD sovereign lending, terms unstated; follows the nine existing rows for a loan of unstated terms, incl. IATI 411. Ruled 2026-08-20."
Commercial Loan,"Syndicated financing (CBC as Lead Underwriter, Lead Arranger, Collateral Agent)",ADDED,matches the existing `Syndicated loan` mapping.
Commercial Loan,Syndicated loan,,
Concessional Loan,Concessional loan,,
Concessional Loan,"Concessional loan *(source label, unverified — see Notes)*",,
Concessional Loan,Government concessional loan,,
Concessional Loan,"IDA concessional credit (0.5% max commitment charge on unwithdrawn funds; repayment from Oct 2030, semi-annual over 20 years)",CHANGED,the terms quoted in the value are the definition of a concessional loan.
Concessional Loan,IDA credit,CHANGED,"an IDA credit is IDA's concessional lending instrument — long maturity, service charge, not a revolving facility. WARDIP SOP1, XDR 45.7m."
Concessional Loan,"IDA credit *(corrected from the source's ""Concessional loan""; PADHI01184 records a US$19.7m IDA credit alongside US$45.3m of IBRD loans)*",CHANGED,as IDA credit.
Concessional Loan,"IDA credit *(established from PAD4954, 2026-08-09; was ""Concessional loan"", source label, unverified — see Notes)*",CHANGED,as IDA credit.
Concessional Loan,"IDA credit, Scale-Up Window *(enriched from source, 2026-08-05)*",CHANGED,as IDA credit. Scale-Up Window is IDA on harder-but-still-concessional terms.
Concessional Loan,IDA investment financing,ADDED,IDA Investment Project Financing. Could be credit or grant — flagged low confidence.
Equity,Equity,,
Equity,Equity (80% acquisition) + infrastructure investment,,
Equity,Equity (Seed),,
Equity,Equity (Series A),,
Equity,Equity (Series A) + debt facilities,,
Equity,Equity (capex / corporate investment),,
Equity,Equity (capex),,
Equity,Equity (cash subscription for new shares + in-kind contribution of Flash shareholding),,
Equity,Equity (fund),,
Equity,Equity (pre-seed),,
Equity,Equity + capex commitment (80% stake acquisition),,
Equity,"Equity acquisition (20%, taking stake 35%→55%)",,
Equity,"Equity acquisition (cash, newly issued shares and performance-linked earnout)",,
Equity,Equity/follow-on investment,,
Equity,Fund commitment (LP),ADDED,an LP commitment to a fund is equity.
Equity,Growth-capital investment (type not further specified in source),ADDED,
Equity,Pre-seed round,ADDED,
Equity,Series B (equity and debt),ADDED,predominantly equity; the debt element is not separated in the source.
Grant,Accountable grant,,
Grant,CEF Digital co-funding (grant),,
Grant,Competitive research grant,,
Grant,Convention d'appui budgétaire,,
Grant,Donation (+ 3-year MoU),CHANGED,"the money is a donation; the MoU is the wrapper. National Bank of Malawi, MWK 75.5m to ICTAM Innovation Jam."
Grant,Funding + technology + technical support,RULED,"Gates/OpenAI Horizon1000; foundation money, the technology and technical-support components not separately priced. Ruled 2026-08-20."
Grant,Grant,,
