currency,year,per_usd,source
ZAR,2015,12.76,IMF/WB annual average (local units per USD)
ZAR,2016,14.68,IMF/WB annual average
ZAR,2017,13.29,IMF/WB annual average
ZAR,2018,13.23,IMF/WB annual average
ZAR,2019,14.45,IMF/WB annual average
ZAR,2020,16.49,IMF/WB annual average
ZAR,2021,14.78,IMF/WB annual average
ZAR,2022,16.37,IMF/WB annual average
ZAR,2023,18.45,IMF/WB annual average
ZAR,2024,18.34,IMF/WB annual average
ZAR,2025,17.88,IMF/WB annual average
ZAR,2026,18.00,provisional (no final annual average yet)
BWP,2024,13.57,approx annual average (ball-park)
BWP,2025,13.90,approx (ball-park)
BWP,2026,14.00,provisional (ball-park)
XOF,2024,606,euro-peg 655.957/EUR at ~1.082 USD/EUR
XOF,2025,596,approx (ball-park)
XOF,2026,600,provisional (ball-park)
XAF,2024,606,euro-peg 655.957/EUR at ~1.082 USD/EUR
XAF,2025,596,approx (ball-park)
XAF,2026,600,provisional (ball-park)
KES,2024,134.7,approx annual average (ball-park)
KES,2025,129.2,approx (ball-park)
KES,2026,130.0,provisional (ball-park)
BIF,2024,2900,approx (ball-park)
BIF,2025,2960,approx (ball-park)
BIF,2026,3000,provisional (ball-park)
AOA,2024,890,approx (ball-park)
AOA,2025,915,approx (ball-park)
AOA,2026,920,provisional (ball-park)
ZMW,2024,26.13,approx annual average (ball-park)
ZMW,2025,27.00,approx (ball-park)
ZMW,2026,27.00,provisional (ball-park)
NGN,2024,1465,"approx annual average (ball-park) — post-2024 float, volatile"
NGN,2025,1550,approx (ball-park) — volatile
NGN,2026,1600,provisional (ball-park) — volatile
GHS,2024,14.70,approx annual average (ball-park)
GHS,2025,13.00,approx (ball-park)
GHS,2026,13.50,provisional (ball-park)
ETB,2024,81.90,"approx annual average (ball-park) — mid-2024 float, rising fast"
ETB,2025,130.0,"approx (ball-park) — volatile, refine before use"
ETB,2026,140.0,provisional (ball-park) — volatile
EGP,2024,45.33,approx annual average (ball-park) — devalued Mar 2024
EGP,2025,50.00,approx (ball-park)
EGP,2026,50.50,provisional (ball-park)
TZS,2024,2650,approx annual average (ball-park)
TZS,2025,2650,approx (ball-park)
TZS,2026,2650,provisional (ball-park)
UGX,2024,3757,approx annual average (ball-park)
UGX,2025,3650,approx (ball-park)
UGX,2026,3650,provisional (ball-park)
RWF,2024,1320,approx annual average (ball-park)
RWF,2025,1440,approx (ball-park)
RWF,2026,1500,provisional (ball-park)
MZN,2024,63.90,approx annual average (ball-park)
MZN,2025,64.00,approx (ball-park)
MZN,2026,64.00,provisional (ball-park)
MWK,2024,1735,approx annual average (ball-park)
MWK,2025,1735,approx (ball-park)
MWK,2026,1750,provisional (ball-park)
MAD,2024,9.90,approx annual average (ball-park)
MAD,2025,9.30,approx (ball-park)
MAD,2026,9.50,provisional (ball-park)
DZD,2024,134.6,approx annual average (ball-park)
DZD,2025,130.0,approx (ball-park)
DZD,2026,131.0,provisional (ball-park)
TND,2024,3.13,approx annual average (ball-park)
TND,2025,3.00,approx (ball-park)
TND,2026,3.00,provisional (ball-park)
MGA,2024,4550,approx annual average (ball-park)
MGA,2025,4450,approx (ball-park)
MGA,2026,4500,provisional (ball-park)
MUR,2024,46.40,approx annual average (ball-park)
MUR,2025,45.50,approx (ball-park)
MUR,2026,46.00,provisional (ball-park)
CDF,2024,2800,approx annual average (ball-park)
CDF,2025,2870,approx (ball-park)
CDF,2026,2900,provisional (ball-park)
GNF,2024,8580,approx annual average (ball-park)
GNF,2025,8650,approx (ball-park)
GNF,2026,8700,provisional (ball-park)
LRD,2024,192,approx annual average (ball-park)
LRD,2025,199,approx (ball-park)
LRD,2026,200,provisional (ball-park)
SLE,2024,22.60,"approx annual average (ball-park) — redenominated SLE (2022, 1000:1)"
SLE,2025,22.80,approx (ball-park)
SLE,2026,23.00,provisional (ball-park)
GMD,2024,68.00,approx annual average (ball-park)
GMD,2025,72.00,approx (ball-park)
GMD,2026,73.00,provisional (ball-park)
SOS,2024,571,approx (ball-park) — managed
SOS,2025,571,approx (ball-park)
SOS,2026,571,provisional (ball-park)
SDG,2024,601,HIGHLY UNCERTAIN — official rate; parallel far higher (war). Refine before use
SDG,2025,900,HIGHLY UNCERTAIN — refine before use
SDG,2026,1100,HIGHLY UNCERTAIN — refine before use
SSP,2024,1700,HIGHLY UNCERTAIN — extreme volatility. Refine before use
